OrganizationName,Address,Phone,Description,URL,Lat,Long
"InnerAction Plus, Inc.","867 New York
10274
(40.70545600039418, -74.01330799986425)",2127323091,"human developement, particularly older adults",http://www.inneractionplus.org,,
Nonprofit Coordinating Committee of New York,,2125024191,"The Nonprofit Coordinating Committee of New York, Inc., (NPCC) is the voice and information source for New York nonprofits. Established in 1984, NPCC informs and connects nonprofit leaders, saves nonprofits money, and strengthens the nonprofit sectorÃ¢â‚¬â„¢s relations with government. NPCC publishes a monthly newsletter, New York Nonprofits, offers workshops and roundtables on management issues, provides cost-saving vendor services, manages a Government Relations Committee that works on sector-wide government and legislative issues, and maintains a website loaded with information on operating a nonprofit. NPCC has more than 1,650 dues-paying members in the New York City area.",http://www.npccny.org,,
The ARab American Family Support Center,,7186438000,"A multi-service organization providing social, cultural, educational, health and legal services to the immigrant community of New York.",http://www.aafscny.org,,
ASA Institute,,7185229073,"two year college, that provides associate degrees in criminal justice, business, medical programs and computer technology",http://www.asa.edu,,
YWCA of Queens,,7183534553,"The YWCA of Queens, formally known as the YWCA of the City of New York Flushing Branch, is recognized as one of the groundbreaking nonprofit organizations reaching out to newly-arrived Asian and other immigrants. Its goal is to preserve and strengthen families and their traditions while serving as a bridge to the mainstream culture and community in the most diverse borough, in the most diverse city, in the country. Through delivering essential services to immigrant women and their families, the YWCA of Queens plays a critical role in providing comprehensive services and programs to each individual and family, and to the community at large.",http://www.ywcaqueens.org/,,
Women's Center for Education and Career Advancement,,2129648934,"The Women's Center for Education and Career Advancement was founded in 1970 to help low-income women of color and their families in New York City move out of poverty and achieve economic self-sufficiency.  The Women's Center has  served some 40,000 individual women and 400 non-profit agencies since then through a variety of innovative technology tools, workforce development, and educational programs and services.  The Women's Center offers direct services to low-income women through Career Services and to non-profit agencies and counselors through the Self-Sufficiency Project.",,,
Grace Outreach,,7183280580,"Grace Outrach fills a critical community need in the South Bronx by providing women who have not finished high school a path to strengthening their academic skills, pursuing college, or employment training, and finding good-paying jobs.   Through its unique program of education, coaching and mentoring, Grace Outreach helps women - most of whom have children - to acquire the skills and confidence they need to build a better life for themselves and their families.  Since 2005, over 350 women have earned their high school equivalency diploma and are attending college, completing training and have secured new and better jobs.",http://www.graceoutreachbronx.org,,
Korean Community Services of Metropolitan New York,,7189396137,"Founded in 1973 as a community based multi-social service organizations, KCS currently serves over 1,100 individuals everyday through its 6 program sites in the areas of immigration, aging, public health, job training, and youth/family.",http://www.kcsny.org,,
ChaRosa Foundation Corporation,"110279 Cambria Heights
11411
(40.694293339066405, -73.73568329125084)",7187231400,"The ChaRosa Foundation Corporation (CFC) is a community-based, not-for-profit organization established on March 17, 1984 for the purpose of ""Helping People Help Themselves!"" For almost Twenty five years, CFC has developed and implemented successful educational, employment, cultural, and youth programs. These programs are aimed at improving self-esteem, self-image, and self-worth. We strive to improve educational scores, encourage higher education, teach employment skills, foster interest in culture and arts, instill leadership qualities, and prepare youth for their future.",,,
United Jewish Council of the East Side,,2122336037,"Not for profit, non-denominational social service agency that serves Lower Manhattan, as well as other neighborhoods in Manhattan, Brooklyn and Queens.  Provides entitlement and benefit counseling, assistance with completing appropriate applications (for example, applications for Medicare D, Social Security Disability,food stamps, city housing)  and advocacy with fair hearings regarding benefits or housing issues.  Services also include assistance with housing, immigration, financial arrears. We also have career counseling, computer training, an MICA SRO, medicaid and private pay homecare. For adults over 60 in Lower Manhattan we also offer a  senior center and kosher congregate meal sites, a limited home delivered kosher mealprogram, telephone reassurance and friendly visiting.  All social service assistance is  available in English, Russian, Chinese and Spanish.  This agency also refers appropriate clients who have symptoms related to 9/11 to the World Trade Center Environmental Health Clinics run by the NYC Health and Hospital Corporation.",http://www.ujceastside.org,,
Groundswell Community Mural Project,,7182549782,"Groundwell is a non profit whose mission is to use art as a tool for social change. Youth work in collaboration with professional artists and community organizations to research, design and create public art with a purpose. Programs for disadvantaged youth include summer jobs, after school and Saturday Portfolio prep. Most programs are co-ed. Voices Her'd is a program specifically for young women. The school year component meets bi weekly. Voices Her'd rolls into a summer jobs program July - August.",http://www.groundswellmural.org/,,
Good Orderly Directions House Incorporation,"1A Brooklyn
11233
(40.67813043816926, -73.91977647550391)",3477777895,The corporation will organize for the sole purpose of providing temporary shelter to homeless adult females with a substance abuse problem and offering assistance through referals and dissemination of information on services available to help them gain employment.,,,
The Children's Aid Society,,2129494800,"Child welfare organization providing services for children, youth and families",http://childrensaidsociety.org,,
Chinatown Manpower Project,,2125711690,"Our mission is to promote economic self-sufficiency by providing vocational training, employment services, educational programs, English as a Second Language and economic development programs to immigrants, refugees, and disadvantaged and low-income individuals in New York City. We offer job placement services, job training, job preparation and counseling, English as a Second Language, computer and bookeeping training, and small business training, counseling and classes.",http://www.cmpny.org,,
New York Legal Assistance Group,,2126135000,"The New York Legal Assistance Group (NYLAG) is a nonprofit organization that offers vulnerable New Yorkers the legal help they critically need. NYLAG?s mission is to provide free, civil legal services to poor and near poor individuals and families residing in the five boroughs of New York City who would otherwise be unable to access legal assistance. Since 1990, NYLAG has been dedicated to providing legal services to underserved, impoverished populations through direct representation, impact and class action litigation, consultation and community education. As a city-wide multi-legal services agency, NYLAG has the capacity to fill a vital gap in legal assistance to a wide range of low income populations including victims of domestic violence, immigrants, the elderly, the chronically ill, children with special needs, Holocaust survivors, and many other less fortunate members of society.",http://www.nylag.org,,
City Year New York,,2126758881,"City Year is a non-profit organization that unites young people of all backgrounds for a year of full-time service, giving them the skills and opportunities to change the world.  As tutors, mentors and role models, these young leaders make a difference in the lives of children and transform schools and neighborhoods.  City Year is a proud member of Americorps.",http://www.cityyear.org,,
Citizens Advice Bureau,,7183650910,"The Citizens Advice Bureau (CAB) is a Bronx-based settlement house. Our mission is to improve the economic and social well-being of low-income individuals, families, and communities. To do this we provide direct, hands-on help, community outreach, education, and advocacy, often in collaboration with other organizations.  The broad range of services we offer addresses the needs of all age groups from infants to senior citizens, as well as selected special need populations. These include immigrants, homeless individuals and families, people with and families impacted by HIV/AIDS, and adults making the transition from welfare to work.",http://www.cabny.org,,
Riverside Language Program,,2126623200,"Free intensive English classes for immigrants, refugees and asylees in the US for less than two years.",http://www.riversidelanguage.org,,
Fresh Start Training Program,,7183389200,"Service women who are Displaced Homemakers, widowed, divorced, married w/ low income, separated, and single parents. We refer client to free training programs, have career counselor on hand for resumes and job search etc., and social worker.  We offer hospitality, computer and HHA training. Client's just need to contact us to schedule an appt. for coming up events.",,,
Jewish Community Council of Greater Coney Island,,7184495000,"The Jewish Community Council of Greater Coney Island is a not-for-profit organization providing supportive services to the frail elderly, vocationally disadvantaged poor, refugees, and educationally at-risk youth of our communities and enhancing the management capacity of NYC's Nonprofits.",http://www.jccgci.org,,
Shorefront Jewish Community Council,,7187430575,"The Shorefront Jewish Community Council is dedicated to providing supportive services responding to the needs of the indigent elderly, vocationally disadvantaged poor, needy youth and immigrant populations of the Brighton Beach and Manhattan Beach Communities.  The Shorefront JCC conducts entitlement assistance and advocacy, emergency assistance, refugee resettlement services, home visits, food pantry, vocational counseling, job placement services, English language instruction, citizenship preparation, community organizationa and advocacy on behalf of the ethnic minority communities.  These vital services enable to improve quality of life of those who are in need.",http://www.shorefrontjcc.org,,
"Chinese Immigrants Services, Inc.",,7183530195,Community services,,,
Gay Men's Health Crisis,,2123671000,"Gay Men's Health Crisis (GMHC) is a not-for-profit, volunteer supported and community-based organization committed to national leadership in the fight against AIDS.  We provide prevention and care services to more than 15,000 men, women and families living with, and affected by, HIV/AIDS in New York City, and advocate for scientific, evidence-based public health information for hundreds of thousands worldwide.  Our Mission:  GMHC fights to end the AIDS epidemic and uplift the lives of all affected.",http://www.gmhc.org,,
GEMS Girls Educational and Mentoring Services,,2129268089,"Girls Educational & Mentoring Services (GEMS) is the only organization in New York State specifically designed to serve girls and young women who have experienced commercial sexual exploitation and domestic trafficking. GEMS was founded in 1999 by Rachel Lloyd, a young woman who had been sexually exploited as a teenager. GEMS has helped hundreds of young women and girls, ages 12-21, who have experienced commercial sexual exploitation and domestic trafficking to exit the commercial sex industry and to develop to their full potential. GEMS provides young women with empathetic, consistent support and viable opportunities for positive change.",http://www.gems-girls.org,,
Italian American Civil Rights League,,7186422180,"Provides Summer Youth Employment Program, Young Adult Internship Training, After School Programs - servicing the ENY, Canarsie, Brownsville sections of Brooklyn.",http://www.iacrlbrooklyn.com,,
"Reach Into Cultural Heights, Inc. (RICH)",,7185234099,"Reach Into Cultural Heights, Inc. (RICH) is a 501 (c) (3) Nonprofit Organization. The focus is on building character and leadership skills of urban youth by engaging them in constructive language supported by communications technology.",http://www.richinc.org,,
Lutheran Family Health Centers' Family Support Center,,7186307186,"This program is the core of the Family Support Center, assisting participants in accessing the full range of community resources and services available to them both within the center and in the community. Program staff provide crisis intervention, case management, short-term counseling, school advocacy, assistance with enrollment to public benefits, information and referrals to address health, hunger, legal, immigration, housing, and personal issues. Program staff also conduct community education workshops both on-site and in the community on topics such access to healthcare, domestic violence, and identifying and navigating community resources. This program also spearheads the Lutheran Healthcare Domestic Violence Taskforce which has the goal of improving screening, identification, and intervention with victims of domestic violence. Services are free and confidential.",http://www.lmcmc.com,,
Northern Manhattan Improvement Corporation,,2128228319,"NMMIC provides legal, social, workforce, education, organizing, housing development and weatherization services.  All services are free and bilingual (English/Spanish).",http://nmic.org,,
The Fortune Society,,2126917554,"Founded in 1967, The Fortune Society is a non-profit organization dedicated to strengthening the fabric of our communities by offering critical re-entry services to formerly incarcerated men and women and promoting alternatives to incarceration.  Fortune does this through a holistic, â€œone-stopâ€ù model of service that features: crisis intervention and crisis counseling, career development, education, housing services, HIV/AIDS-case management, substance abuse treatment, family services, referrals, and lifetime aftercare, among other services.  A female-specific program, DAMAS, provides a supportive community in which the unique needs of women with criminal justice system involvement are addressed. Through DAMAS, women are empowered to move away from criminal behavior and antisocial tendencies -- and to develop as productive and responsible members of society.",http://www.fortunesociety.org,,
Brooklyn Bureau of Community Service,,7183105600,"The Brooklyn Bureau of Community Service strives to empower its clients to achieve greater economic self-sufficiency and more rewarding participation in the community through programs that nurture and strengthen families, protect children, and enable individuals with disabilities to achieve their full potential.  Through these services and advocacy, the Brooklyn Bureau works to build stronger and healthier individuals, families and communities.",http://www.bbcs.org,,
"IMANI HOUSE, Inc.",,7186382059,"Our mission is to assist low-income youth, families and immigrants to create viable neighborhoods where residents are decision makers who take responsibility for the improvement of their lives and surroundings. We operate an Adult Literacy Program, Job Development Program, Food Pantry and 2 Afterschool Programs in the Park Slope Area.",http://www.imanihouse.org,,
The Legal Aid Society,,2125773300,"Founded in 1876, The Legal Aid Society is the nation's oldest and largest not-for-profit organization providing high quality legal services to low-income families and individuals in New York City.  The Legal Aid Society is an indispensable component of the legal, social, and economic fabric of New York City-- passionately advocating for individuals across a variety of civil, criminal and juvenile rights matters, while also fighting for legal reform.  The Legal Aid Society has performed this role in the city, state and federal courts for over 130 years.  It does so by capitalizing on the diverse expertise, experience and capabilities of 850 of the brightest legal minds.  It works with 600 social workers, investigators, paralegals, and support and administrative staff in every borough of the city.  It takes on more cases for more clients than any other organization in New York City.  And it brings a depth and breadth of perspective that is unmatched in the legal profession.  The Legal Aid Society at the vanguard of the cause of equal justice under law for all people. Its unique value is an ability to go beyond any one case to create more equitable outcomes for individuals and broader, more powerful systemic change for society as a whole.  The Legal Aid Society operates through a network of borough, neighbohood and courthouse offices in 25 locations in New York City and provides comprehensive legal services in all five boroughs free of charge for clients who cannot afford to pay for counsel.  In addition to the three major practices: Civil, Criminal and Juvenile Rights, The Legal Aid Society receives volunteer help from law firms and corporate law departments that is coordinated by the Pro Bono Practice.  The Legal Aid Society handles more than 295,000 cases and legal matters for clients each year. The Civil Practice handles more than 30,000 client matters providing assistance to the most vulnerable New Yorkers, including senior citizens, chronically ill or disabled children and adults, survivors of domestic violence, immigrants, low-wage or unemployed workers, persons living with HIV/AIDS, and homeless or imminently homeless children and adults.   The Criminal Practice, the primary provider of indigent defense services in New York City, is comprised of trial offices in the four major boroughs, an Appeals Bureau, a Parole Revocvation Defense Unit, an Adolescent Intervention and Diversion Unit and a MICA Unit for mentally ill, chemically addicted clients. The Criminal Practice handles a total of 235,000 cases. The Juvenile Rights Practice's core client service is the representation of children in Family Court in abuse and neglect cases, juvenile delinquency matters, and persons in need of supervision.  The Practice handles approximatley 90 percnt of these cases in the Family Court and  represents more than 30,000 children.",http://www.legal-aid.org,,
Dominican Women's Development Center,,2129946060,"The Dominican Women's Development Center is a not-for-profit organization created to contribute to the empowerment of Dominican/Latina, other women and our families who reside in Washington Heights/Inwood and other New York City communities. Our mission is to aid in the growth and development of our self esteem by affirming our identity and solidarity through multicultural and holistic social services, and educational, economic and cultural development programs. The Center is committed to the organizing of women to actively participate in the elimination of gender inequality and the promotion of social justice!",http://www.dwdc.org,,
"Simpson Street Development Association,Inc",,7185891510,"Simpson Street Development Association (SISDA) is a Community Based Organization servicing the youth and families of the South Bronx for the past 43 years. In the area of education, employment, training,summer camp, counseling and social services.",,,
Latino Pastoral Action Center,,7186812361,"Faith-Based  organization committed to: Educating, and Empowering People, the Church and Society.",http://www.LPACMINISTRIES.COM,,
Phipps Community Development Corporation,,2122439090,"Phipps Community Development Corporation (Phipps CDC) is a 35-year-old multi-service nonprofit providing a comprehensive network of educational, vocational and community development programs for residents of low-income communities across the Bronx and Manhattan. Phipps CDC serves approximately 8,000 children, teens and adults in more than 40 programs. On-site and neighborhood-based social, education, and career services include: Head Start, after-school, summer camp, literacy and ESL, GED, college prep, work readiness, resident support, and family programs for children and adults. Phipps CDC is the social services affiliate of Phipps Houses, New York City's oldest and largest nonprofit developer of affordable housing.",http://www.phippsny.org/pcdc,,
"HANAC, Inc.",,2128408005,"Non profit social service agency funded by city, state and federal funds providing services to youth and elderly.",http://hanac.org,,
Fifth Avenue Committee,,7182372017,"FAC is a non-profit, community-based development corporation strives to build vibrant, diverse neighborhoods where all residents have the power to achieve their goals,  and opportunities to shape the communityâ€™s future. Our mission is to advance economic and social justice in South Brooklyn by developing and managing affordable housing and community facilities, creating employment opportunities, providing student-centered adult education, organizing residents and workers, and combating displacement caused by gentrification. We have produced over 600 units of affordable housing in more than 100 buildings and revitalized more than a dozen commercial storefronts, representing over $125 million in assets for South Brooklyn, and we now have over 310 units -- $110 million -- in development with a pipeline of an additional 775 units representing yet another $300 million in direct investment in South Brooklyn.  Additionally, the job creation and skills training programs of Brooklyn Workforce Innovations (BWI), have led to good jobs and a path to living wages for over 2,500 individuals.",http://www.fifthave.org,,
National Coalition of 100 Black Women - Manhattan Chapter,"1711 New York
10163
(40.75296200039605, -73.97494000038068)",2126423758,"This is an organization of women dedicated to advocacy through leadership.   We believe all women committed to changing the outcomes of Black Women throughout the world should focus their attention to becoming changing agents. We are results driven leaders organized to provide education and advocacy in health, gender equity, economic and professional development in our communities. Our programming targets the disparities that are often ignored for women of color. Join us as we work to change women of color from being the invisible majority to the visible policy makers. Improve the quality of your life. Join NCBW-Manhattan Chapter.",http://www.ncbwmanhattan.org,,
Korean American Family Service Center,"541429 Flushing
11354
(40.76862022064671, -73.82719028070687)",7184603801,"Founded in 1989, the Korean American Family Service Center is a nonprofit organization providing culturally appropriate, bilingual counseling, advocacy and educational services to adults, youth and children in the New York tri-state area.  We work to help end domestic violence and abuse, resolve conflict, and develop healthy family and peer relationships.  We are publicly and privately funded.",http://kafsc.org,,
Council of Jewish Organizations of Flatbush (COJO Flatbush),,7183772900,"COJO of Flatbush, established 30 years ago, is an umbrella agency for over 220 affiliated member organizations serving the Greater Flatbush community.  It is a multi-faceted, non-sectarian, non-profit social service agency acting as the ombudsman to the locality in addressing its concerns.  The Council operates a multi-service center providing a broad range of programs and services.  These include information, referral, emergency assistance, crisis intervention, assistance in obtaining a wide range of public entitlements, housing, legal counsel, foreclosure prevention, holiday food packages, food pantries; the Leader Family Employment Center providing job-readiness skills and training, job placement; ESL, Civics and Citizenship classes, the Chaim Meir/Leader Family Camp Scholarship Fund; Project Care Ã¯Â¿Â_ Volunteer Services for the Homebound; the South Brooklyn Business Outreach Center (BOC), credit counseling, financial literacy, Family and Child Health Plus programs, and all support assistance for the destitute, elderly, disadvantaged, unemployed, single-parent families, displaced workers, immigrant populations, the homebound elderly and handicapped.  This year, over 20,000 clients received approx. 50,000 services from all Council Programs.",http://ww.cojoflatbush.org,,
St Stephens Outreach Inc.,,7183848854,Community based organization with multiple community services,,,
Edith and Carl Marks Jewish Community House of Bensonhurst,,7183316800,"Jewish Community Center welcoming all community residents, providing many programs and services. Programs include: preschool, afterschool, teens, summer camp, Sunday Children's Programs, pool, fitness, membership, Bensonhurst Senior Center hot lunch program, Senior Activities, JCH Good Neighbors Neighborhood Naturally Occurring Retirement Community - Social and Health services for seniors, Psychological Support and Mental Health Prevention and Domestic Violence Prevention Services, Bensonhurst Housing for the Elderly, Single Stop Social Service Center - public benefits, legal consultation, financial literacy workshops, information and referrals, Immigrant Services - English classes, job placement and vocational training, medical insurance assistance (MCCAP), Bensonhurst Business Club, docucment translation, Holocaust Survivors services, more.",http://www.jchb.org,,
Mercy Center,,7189932789,"Mercy Center is a neighborhood center for women in the South Bronx. It's mission is to provide educational and supportive services to women, parents and other family members. Services range from Parenting Skills Classes, Anger Management Classes (offered in Spanish and English); E.S.L.; English Citizenship Classes; Employment Readiness including Introduction to Microsoft Word and Excel, Job Development and G.E.D. Classes; Meditation; Yoga; and many other special activities and workshops throughout the year.",http://www.mercycenterbronx.org,,
Inwood House,,2128614400,Youth development and teen pregnancy prevention programs and family support programs.,http://www.inwoodhouse.com,,
New Immigrant Community Empowerment,,7182058796,"New Immigrant Community Empowerment (NICE) is a community-based, non-profit organization that works to ensure that new immigrants can build social, political and economic power in their communities and beyond.  NICE envisions a world where all people -regardless of status- live and work with dignity and justice.",http://www.nynice.org/,,
"Harlem Congregations for Community Improvement, Inc.",,2122814887,"Harlem Congregations for Community Improvement, Inc. (HCCI) is committed to the holistic revitalization of Harlem.  We provide economic development opportunities and empowerment of Harlem to rebuild their community.",http://www.hcci.org,,
"Catalyst, Inc.",,2125147600,"Founded in 1962, Catalyst is the leading nonprofit membership organization working globally with businesses and the professions to build inclusive workplaces and expand opportunities for women and business. With offices in the United States, Canada, and Europe, and more than 400 preeminent corporations as members, Catalyst is the trusted resource for research, information, and advice about women at work. Catalyst annually honors exemplary organizational initiatives that promote womenâ€™s advancement with the Catalyst Award.",http://www.catalyst.org,,
Elmcor Youth & Adult Activities,,7186510096,"Drug rehabliitation Center, residential, outpatient and prevention services, Youth and Recreation services after school, in-school and  sports, comupter lab and senior Citizen Center",,,
